time,Fri,Mon,Wed
08:00-08:55,"BIO new code (L) - Room_1
BIO207 (L) - Room_2
BIO309 (L) - Room_3
CHY122 (L) - Room_4
CHY216 (L) - Room_5
CHY352/CHY4052 (L) - Room_6","BIO101/new code (L) - Room_1
BIO113/new code (L) - Room_2
BIO114/new code (L) - Room_3
BIO205 (L) - Room_4
BIO305 (L) - Room_5
CHY104 (L) - Room_6
CHY212 (L) - Room_7
CHY226 (L) - Room_8
CHY242 (L) - Room_9
CHY322 (L) - Room_10","BIO107/new code (L) - Room_1
BIO206 (L) - Room_2
BIO307 (L) - Room_3
CHY114 (L) - Room_4
CHY222 (L) - Room_5
CHY342 (L) - Room_6
CHY456 (L) - Room_7
CHY501/CHY5001 (L) - Room_8
CHY522/CHY5022 (L) - Room_9
CHY544/CHY5044 (L) - Room_10"
09:05-10:00,BIO328 (L) - Room_1,"BIO208 (L) - Room_1
BIO322 (L) - Room_2
CHY144 (L) - Room_3",BIO326 (L) - Room_1
10:10-11:05,,,BIO329 (L) - Room_1
13:00-14:55,"BIO207 (P) - Room_1
CHY144 (P) - Room_2
CHY242 (P) - Room_3","BIO new code (P) - Room_4
BIO101/new code (P) - Room_1
BIO107/new code (P) - Room_2
BIO113/new code (P) - Room_3
BIO205 (P) - Room_5
BIO305 (P) - Room_6
BIO403 (P) - Room_7
CHY114 (P) - Room_8
CHY222 (P) - Room_9
CHY498 (P) - Room_10","BIO206 (P) - Room_1
BIO326 (P) - Room_2
CHY122 (P) - Room_3
CHY216 (P) - Room_4
CHY522/CHY5022 (P) - Room_5"
15:05-17:00,,"BIO208 (P) - Room_1
BIO208 (P) - Room_2",
17:10-18:05,,"BIO114/new code (T) - Room_1
CHY104 (T) - Room_2
CHY222 (T) - Room_3
CHY226 (T) - Room_4","BIO new code (T) - Room_1
CHY122 (T) - Room_2"
